original_index	query	q_0	q_1	label_0	label_1
80	Some fans told me in their private message that they got dates by following my tutorials...I felt it was worth it. Even if the video was only watched by a number of viewers, it was worth it. I was very happy. It was the highlight and gave me a sense of achievement.	It was a long time ago, last year, when I uploaded a ftness video...Probably it happened to step on the recommendation algorithm, and it got over 500,000 views shortly, but it did not bring many followers...and the interaction was also not good.	The number of viewers soon reached over 10,000, and it was so much higher than what I imagined. I imagined it could be, could be tens of people to watch.	both	both
81	Some would say, the rhythm is not so good or there is no rhythmic point, or other places that are not so good. They, the audience, would use Danmu or comments to give you such feedback	If you want to be an uploader, you want to make sure it is high quality. Otherwise, it is a waste of others’ time, which is not good	If you watch a video several times, you would learn how they edit it, and you can try to imitate it for that effect. Overtime, you will know.	q0_more_similar	q1_more_similar
82	Sometimes I can ask a person to volunteer to clear the way when I’m coming, or I can make a sound like..’zzzz’ , so people will turn their head back and see me coming.	I normally shout at people or use my elbow to avoid them fall on me	It can make people better aware [that] the wheelchair is coming, but I don’t want to draw extra attention on me, especially on my disability	q1_more_similar	both
83	Sometimes the system don’t realize that you have perceived an issue and they will do something that you think is irresponsible..For example, you could have a collision avoidance system that is doing the best to avoid you running into a wall, but actually you are trying to get closer to the wall because you are trying to avoid a child running on the pavement	In the crowds, it is most likely the wheelchair will keep changing its direction to avoid people, which is the least thing I would want to have..It can be confusing and uncomfortable..	When the wheelchair does something out of my intention and that causes unhappiness for other people, I don’t want people to think it is what I intend to do and I’m a bad guy.	both	q1_more_similar
84	Sometimes, it is hard to fnd the one emoji or GIF that expresses what I try to communicate	I use Microsoft teams which doesn’t support most of gifs	also if we type any text, it’s translated to the emoticon when it is not required	neither	neither
87	The number of viewers soon reached over 10,000, and it was so much higher than what I imagined. I imagined it could be, could be tens of people to watch.	I tried Douyin but gave it up. I was not used to that atmosphere...I’ve also synced my works to Weibo, and gave it up too. After I tried around...I still feel I like Bilibili’s atmosphere the most	Some fans told me in their private message that they got dates by following my tutorials...I felt it was worth it. Even if the video was only watched by a number of viewers, it was worth it. I was very happy. It was the highlight and gave me a sense of achievement.	q1_more_similar	neither
88	The number of views of my video got plummet all of a sudden, and there was not much exposure then. It was at that time that I realized that, oh, video uploading was not something that you do randomly, that you just edit and upload it	It is not so interesting if you just go out to play for two days and shoot. Because if I am just a passerby, I will not fnd it attractive. Because it is just your life, not mine. I think, as uploaders, we have the responsibility to present quality content to the audience. I will not just make day-to-day accounts, because not every moment of life is fun	The one I devoted the most to was a video I made last time, although I have deleted it...um...For that video, I had been working on it continuously for a whole week, but the feedback was far from being good, and that caused attitudinal change on me. Because it really took me quite some eforts, but I made a...a fatal mistake. That is, I was too self-absorbed. I neither considered it from the audience’s perspective, nor paid attention to whether they could understand.	q0_more_similar	both
91	The system let me know roughly what happened before, but some keywords were too general so it was hard to know what happened exactly	Based on snapshots and keywords I was able to roughly understand when ingredients were introduced and when and what ingredients were added. However, it was difcult to grasp the exact contents with the highlight feature alone, such as how it was cooked	The transcript was awkwardly transcribed so it was hard to understand the content.	q0_more_similar	both
93	The very frst time, I couldn’t use all this because I was not aware Like if it was actually a good thing to do so, even with the manager, I still can’t do it... though things are smooth and all but I still can’t do it or use emoji while chatting with my manager or some other person in the senior management, it is just that we use simple SMILEY	I haven’t seen a lot of people using them already so you have to conform with or whatever is going on in the company right, I cannot be like Oh, you know I’m so friendly and everything and start using it	Most people, people in my team, are above 50 or 60, so it’s a little difcult to send like meme, stickers it can mean like something diferent if you are not sending to the people of your own age...Because I did not like I uh I did not get any response back, so I thought, okay, so maybe I should not have sent that; otherwise, she would have been responded to me...it’s a generational gap.	neither	q1_more_similar
94	Then slowly, then, after some time we transcended from emails to phone calls and then to video calls like four ... And that happened because I would sometimes use SMILEY or some emoji and they would also reciprocate	My team lead posts some kind of random joke every day on like one the platform, so what he did was like he posts a joke there, and he would add random emoji at the bottom with the post, and would want us to vote using those emoji	Yes, I would say that because previously in my last company I have made some great friends and, and I did not met with them like face to face ever, but I, but I still talk to them and I haven’t had any calls with them only messages and right now, at this company, I never had, I never had any physical Like physical connection with like a with like anyone [...] so I would say yes, non-textual responses have helped me in in building the relationships and I have made some great friends in my previous [and] current company	q1_more_similar	q1_more_similar
96	There is a lot more information that a GIF carries compared to an emoji...it is just a fxed kind of expression or emotion devoid of any context of why, like a person is feeling that way, except for like what it is that you are talking about in the conversation	I would say, for using, for using like a stickers and memes, they are, they are fun, but I don’t use use those with like, with like everyone, basically I use these GIFs and stickers approximately with only like four to fve people...but the people who I am like comfortable with, whom I chat like after ofce, if I share my personal things with them to, with those people, I’m pretty comfortable and I share the stickers and memes with them.	Young people in China use slightly smiling emoji when they do not care or are speechless, and you do not wish to engage...once a Prof. from China used and I had no idea what he means...I asked for clarifcation, suggestions to improve if something was not right	q0_more_similar	neither
97	There is an emoji that’s kind of like that this guy used to send to everybody, and it became kind of like his thing...And then now do you know we don’t see that emoji thrown around anymore, and feel like people don’t want to use it, because then you know; it’s copycatting that guy	My team lead posts some kind of random joke every day on like one the platform, so what he did was like he posts a joke there, and he would add random emoji at the bottom with the post, and would want us to vote using those emoji	When I joined, someone told me we all had chosen a specifc emoji, and whenever we have a recommended message, oh, I’ve read it instead of like All responding separately. We respond with our personal emoji, so that’s a super formal way, my favorite emojis were already taken when I joined the group, so I chose, in the end, a fun video emoji with like a star...	q1_more_similar	q1_more_similar
98	There is this thing within a certain group they have like a norm that they don’t use the praying emoji for thank you because they do not want to use any religious emoji...so they like own a thank you emoji and...when I entered, I didn’t know this, so I used the praying emoji for Thank you emoji, and then some people sent me a message saying I should use the other non-religious thank you emoji	I can say, when I was not very familiar with the team, I was hesitant to use diferent smileys. Like you know, I’m kind of like shy in nature when it comes to like sharing a heart SMILEY with others. It is sometimes difcult for me, so yeah, I was frst like very hesitant to put a heart. But later as I get to know people, yeah they are like kind of cool... I don’t mind using it now	when you try to communicate a lot using a limited medium like a job is essentially an instant messenger that comes from the idea that you can’t really write letters and expect people to receive it and all of that right	q0_more_similar	q0_more_similar
